date,average_rainfall,average_temp,average_humidity
2021-10-06,7.94993514915694,27.57,84.94
2021-10-07,3.831047865459248,27.89,83.96
2021-10-08,2.69819587628866,28.44,82.88
2021-10-09,2.543814432989693,28.67,82.59
2021-10-10,4.481081081081077,28.83,81.75
2021-10-11,7.667008985879322,27.86,84.92
2021-10-12,10.644415917843382,27.75,85.63
2021-10-13,4.064010282776348,27.79,84.18
2021-10-14,8.982519280205649,27.06,86.59
2021-10-15,9.519537275064271,26.28,88.91
2021-10-16,10.258172458172448,26.57,87.6
2021-10-17,7.340232858990949,25.12,87.93
2021-10-18,2.08397932816538,25.45,86.44
2021-10-19,3.578974358974359,27.02,85.55
2021-10-20,2.2125480153649173,28.14,84.15
2021-10-21,6.46607142857142,27.99,85.25
2021-10-22,7.249808429118765,26.97,86.07
2021-10-23,5.084802043422729,26.22,84.77
2021-10-24,4.021455938697317,26.59,82.03
2021-10-25,1.616133162612036,26.75,80.71
2021-10-26,0.9242966751918166,27.16,79.71
2021-10-27,2.130690537084399,27.27,80.02
2021-10-28,5.609462915601016,26.54,84.3
2021-10-29,3.410755441741356,27.18,85.38
2021-10-30,6.484615384615377,27.31,85.8
2021-10-31,4.123076923076921,27.15,86.11
2021-11-01,3.3907810499359803,27.56,84.9
2021-11-02,3.3691516709511573,27.54,84.64
2021-11-03,1.801034928848643,27.64,83.13
2021-11-04,2.485494223363288,27.64,82.97
2021-11-05,1.0980744544287564,28.04,81.73
2021-11-06,4.171428571428571,27.98,82.39
2021-11-07,1.9029677419354865,28.38,82.0
2021-11-08,2.595607235142121,27.54,81.95
2021-11-09,2.9785806451612915,26.54,80.78
2021-11-10,4.428129032258064,25.78,80.62
2021-11-11,6.971685971685964,25.81,80.15
2021-11-12,7.647361647361643,26.1,81.32
2021-11-13,3.0333333333333328,25.78,80.92
2021-11-14,2.597680412371136,25.94,80.46
2021-11-15,2.199226804123713,26.91,79.89
2021-11-16,3.1631443298969053,27.14,81.64
2021-11-17,7.927155727155723,27.39,81.58
2021-11-18,4.672634271099746,27.31,81.44
2021-11-19,2.0336734693877574,27.7,80.81
2021-11-20,1.3123076923076935,28.24,80.38
2021-11-21,1.629449423815621,28.05,80.53
2021-11-22,1.9928297055057629,27.72,80.34
2021-11-23,6.275032010243277,26.28,81.03
2021-11-24,3.2338461538461494,25.65,78.92
2021-11-25,3.2564495530012767,25.53,78.97
2021-11-26,1.7428205128205123,25.63,78.71
2021-11-27,1.2800000000000005,25.35,76.71
2021-11-28,5.372599231754163,25.1,76.05
2021-11-29,5.992337164750954,24.94,77.07
