date,min-max,average_price
22 ก.ย. 2564,25 - 30,27.50 
23 ก.ย. 2564,25 - 30,27.50 
27 ก.ย. 2564,25 - 30,27.50 
28 ก.ย. 2564,20 - 25,22.50 
29 ก.ย. 2564,20 - 25,22.50 
30 ก.ย. 2564,20 - 25,22.50 
01 ต.ค. 2564,20 - 25,22.50 
04 ต.ค. 2564,30 - 35,32.50 
05 ต.ค. 2564,30 - 35,32.50 
06 ต.ค. 2564,25 - 30,27.50 
07 ต.ค. 2564,25 - 30,27.50 
08 ต.ค. 2564,25 - 30,27.50 
11 ต.ค. 2564,25 - 30,27.50 
12 ต.ค. 2564,20 - 25,22.50 
14 ต.ค. 2564,20 - 25,22.50 
15 ต.ค. 2564,20 - 25,22.50 
18 ต.ค. 2564,30 - 35,32.50 
19 ต.ค. 2564,25 - 30,27.50 
20 ต.ค. 2564,20 - 25,22.50 
25 ต.ค. 2564,20 - 25,22.50 
26 ต.ค. 2564,20 - 25,22.50 
27 ต.ค. 2564,30 - 35,32.50 
28 ต.ค. 2564,30 - 35,32.50 
29 ต.ค. 2564,30 - 35,32.50 
01 พ.ย. 2564,30 - 35,32.50 
02 พ.ย. 2564,25 - 30,27.50 
03 พ.ย. 2564,25 - 30,27.50 
04 พ.ย. 2564,25 - 30,27.50 
05 พ.ย. 2564,25 - 30,27.50 
08 พ.ย. 2564,25 - 30,27.50 
09 พ.ย. 2564,25 - 30,27.50 
10 พ.ย. 2564,25 - 30,27.50 
11 พ.ย. 2564,30 - 35,32.50 
12 พ.ย. 2564,25 - 30,27.50 
15 พ.ย. 2564,30 - 35,32.50 
16 พ.ย. 2564,30 - 35,32.50 
17 พ.ย. 2564,25 - 30,27.50 
18 พ.ย. 2564,25 - 30,27.50 
19 พ.ย. 2564,25 - 30,27.50 
22 พ.ย. 2564,25 - 30,27.50 
23 พ.ย. 2564,25 - 30,27.50 
24 พ.ย. 2564,25 - 30,27.50 
25 พ.ย. 2564,25 - 30,27.50 
26 พ.ย. 2564,20 - 25,22.50 
29 พ.ย. 2564,25 - 30,27.50 
30 พ.ย. 2564,30 - 35,32.50 
01 ธ.ค. 2564,30 - 35,32.50 
02 ธ.ค. 2564,30 - 35,32.50 
03 ธ.ค. 2564,25 - 30,27.50 
07 ธ.ค. 2564,25 - 30,27.50 
08 ธ.ค. 2564,20 - 25,22.50 
09 ธ.ค. 2564,20 - 25,22.50 
13 ธ.ค. 2564,20 - 25,22.50 
14 ธ.ค. 2564,20 - 25,22.50 
15 ธ.ค. 2564,15 - 20,17.50 
16 ธ.ค. 2564,15 - 20,17.50 
17 ธ.ค. 2564,15 - 20,17.50 
20 ธ.ค. 2564,15 - 20,17.50 
21 ธ.ค. 2564,10 - 15,12.50 
22 ธ.ค. 2564,10 - 15,12.50 
23 ธ.ค. 2564,10 - 15,12.50 
24 ธ.ค. 2564,10 - 15,12.50 
27 ธ.ค. 2564,10 - 15,12.50 
28 ธ.ค. 2564,10 - 15,12.50 
29 ธ.ค. 2564,10 - 15,12.50 
30 ธ.ค. 2564,15 - 20,17.50 
04 ม.ค. 2565,20 - 25,22.50 
05 ม.ค. 2565,15 - 20,17.50 
06 ม.ค. 2565,15 - 20,17.50 
07 ม.ค. 2565,15 - 20,17.50 
10 ม.ค. 2565,15 - 20,17.50 
11 ม.ค. 2565,15 - 20,17.50 
12 ม.ค. 2565,15 - 20,17.50 
13 ม.ค. 2565,15 - 20,17.50 
14 ม.ค. 2565,15 - 20,17.50 
17 ม.ค. 2565,15 - 20,17.50 
18 ม.ค. 2565,20 - 25,22.50 
19 ม.ค. 2565,20 - 25,22.50 
20 ม.ค. 2565,20 - 25,22.50 
21 ม.ค. 2565,20 - 25,22.50 
24 ม.ค. 2565,20 - 25,22.50 
25 ม.ค. 2565,20 - 25,22.50 
26 ม.ค. 2565,20 - 25,22.50 
27 ม.ค. 2565,20 - 25,22.50 
28 ม.ค. 2565,20 - 25,22.50 
31 ม.ค. 2565,20 - 25,22.50 
01 ก.พ. 2565,20 - 25,22.50 
02 ก.พ. 2565,20 - 25,22.50 
03 ก.พ. 2565,20 - 25,22.50 
04 ก.พ. 2565,20 - 25,22.50 
07 ก.พ. 2565,20 - 25,22.50 
08 ก.พ. 2565,20 - 25,22.50 
09 ก.พ. 2565,20 - 25,22.50 
10 ก.พ. 2565,20 - 25,22.50 
11 ก.พ. 2565,20 - 25,22.50 
